Species,Day,Month ,Year,Elevation,new_date,flowering_time,temparature
Ranunculus hirtellus,17,10,1874,3939,684756,290,
Ranunculus hirtellus,29,8,1876,3181,685438,242,
Ranunculus hirtellus,31,5,1892,2727,691192,152,
Ranunculus hirtellus,29,5,1892,2727,691190,150,
Ranunculus hirtellus,5,8,1892,3636,691258,218,
Ranunculus hirtellus,13,6,1892,3636,691205,165,
Ranunculus hirtellus,14,7,1897,4242,693062,195,
Ranunculus hirtellus,5,8,1909,4848,3505,217,18.38593025
Ranunculus hirtellus,5,7,1910,3636,3839,186,18.44615413
Ranunculus hirtellus,6,7,1910,3939,3840,187,18.44615413
Ranunculus hirtellus,17,7,1912,3900,4582,199,18.6163434
Ranunculus hirtellus,12,9,1912,4545,4639,256,18.6163434
Ranunculus hirtellus,21,7,1913,4242,4951,202,17.96856644
Ranunculus hirtellus,17,5,1950,3939,18400,137,18.16541579
Ranunculus hirtellus,4,6,1954,4090,19879,155,18.67847814
Ranunculus hirtellus,4,5,1957,3962,20944,124,18.19456978
Ranunculus hirtellus,15,6,1958,5250,21351,166,19.39756695
Ranunculus hirtellus,26,6,1958,3400,21362,177,19.39756695
Ranunculus hirtellus,14,9,1958,3582,21442,257,19.39756695
Ranunculus hirtellus,19,6,1958,4800,21355,170,19.39756695
Ranunculus hirtellus,14,9,1958,3590,21442,257,19.39756695
Ranunculus hirtellus,14,6,1958,3590,21350,165,19.39756695
Ranunculus hirtellus,19,6,1958,4800,21355,170,19.39756695
Ranunculus hirtellus,22,9,1958,2825,21450,265,19.39756695
Ranunculus hirtellus,16,10,1959,4000,21839,289,19.0326094
Ranunculus hirtellus,16,6,1959,4000,21717,167,19.0326094
Ranunculus hirtellus,4,6,1959,1700,21705,155,19.0326094
Ranunculus hirtellus,6,6,1959,3000,21707,157,19.0326094
Ranunculus hirtellus,5,6,1959,1800,21706,156,19.0326094
Ranunculus hirtellus,30,5,1959,2400,21700,150,19.0326094
Ranunculus hirtellus,6,6,1959,3000,21707,157,19.0326094
Ranunculus hirtellus,16,6,1959,4000,21717,167,19.0326094
Ranunculus hirtellus,18,4,1960,3000,22024,109,19.14885426
Ranunculus hirtellus,17,4,1960,3000,22023,108,19.14885426
Ranunculus hirtellus,18,4,1960,3000,22024,109,19.14885426
Ranunculus hirtellus,4,9,1961,3375,22528,247,18.84792033
Ranunculus hirtellus,4,9,1961,3375,22528,247,18.84792033
Ranunculus hirtellus,14,9,1961,3350,22538,257,18.84792033
Ranunculus hirtellus,4,9,1961,3375,22528,247,18.84792033
Ranunculus hirtellus,4,9,1961,3375,22528,247,18.84792033
Ranunculus hirtellus,4,9,1961,3375,22528,247,18.84792033
Ranunculus hirtellus,4,9,1961,3375,22528,247,18.84792033
Ranunculus hirtellus,17,9,1961,3500,22541,260,18.84792033
Ranunculus hirtellus,12,9,1961,4000,22536,255,18.84792033
Ranunculus hirtellus,17,9,1961,3000,22541,260,18.84792033
Ranunculus hirtellus,7,10,1961,2745,22561,280,18.84792033
Ranunculus hirtellus,30,7,1962,4000,22857,211,18.9725193
Ranunculus hirtellus,6,10,1962,3900,22925,279,18.9725193
Ranunculus hirtellus,20,10,1963,3200,23304,293,18.90389475
Ranunculus hirtellus,6,10,1963,3800,23290,279,18.90389475
Ranunculus hirtellus,4,10,1963,3800,23288,277,18.90389475
Ranunculus hirtellus,6,10,1963,3800,23290,279,18.90389475
Ranunculus hirtellus,4,10,1963,3800,23288,277,18.90389475
Ranunculus hirtellus,1,9,1963,3500,23255,244,18.90389475
Ranunculus hirtellus,1,9,1963,3500,23255,244,18.90389475
Ranunculus hirtellus,6,10,1963,3800,23290,279,18.90389475
Ranunculus hirtellus,21,8,1963,3000,23244,233,18.90389475
Ranunculus hirtellus,20,10,1963,3200,23304,293,18.90389475
Ranunculus hirtellus,20,9,1964,2600,23640,264,18.67727381
Ranunculus hirtellus,2,7,1964,3000,23560,184,18.67727381
Ranunculus hirtellus,13,7,1964,3100,23571,195,18.67727381
Ranunculus hirtellus,13,7,1964,4535,23571,195,18.67727381
Ranunculus hirtellus,18,10,1965,4000,24033,291,18.57157296
Ranunculus hirtellus,26,7,1966,4000,24314,207,18.68945145
Ranunculus hirtellus,26,7,1966,4000,24314,207,18.68945145
Ranunculus hirtellus,4,5,1966,3500,24231,124,18.68945145
Ranunculus hirtellus,20,6,1969,3800,25374,171,19.16785973
Ranunculus hirtellus,20,9,1969,2750,25466,263,19.16785973
Ranunculus hirtellus,20,6,1969,3800,25374,171,19.16785973
Ranunculus hirtellus,6,8,1970,3400,25786,218,19.24800225
Ranunculus hirtellus,24,8,1970,4900,25804,236,19.24800225
Ranunculus hirtellus,2,10,1971,2850,26208,275,18.82908908
